,Company Name,Status Rocket,Cost in Millions of Dollars,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,Year,Month,Day,Date,Launch in Country of Company
0,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,8,7,07/08/2020,True
1,CASIC,StatusActive,29.75 ,Success,China,China,S,2020,8,6,06/08/2020,True
2,Roscosmos,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2020,7,30,30/07/2020,False
3,ULA,StatusActive,145.0 ,Success,USA,USA,P,2020,7,30,30/07/2020,True
4,CASIC,StatusActive,64.68 ,Success,China,China,S,2020,7,25,25/07/2020,True
5,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2020,7,23,23/07/2020,False
6,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,7,20,20/07/2020,True
7,JAXA,StatusActive,90.0 ,Success,Japan,Japan,S,2020,7,19,19/07/2020,True
8,Northrop,StatusActive,46.0 ,Success,USA,USA,P,2020,7,15,15/07/2020,True
9,ExPace,StatusActive,28.3 ,Failure,China,China,S,2020,7,10,10/07/2020,True
10,CASIC,StatusActive,29.15 ,Success,China,China,S,2020,7,9,09/07/2020,True
11,CASIC,StatusActive,29.75 ,Success,China,China,S,2020,7,4,04/07/2020,True
12,Rocket Lab,StatusActive,7.5 ,Failure,New Zealand,USA,P,2020,7,4,04/07/2020,False
13,CASIC,StatusActive,64.68 ,Success,China,China,S,2020,7,3,03/07/2020,True
14,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,6,30,30/06/2020,True
15,CASIC,StatusActive,29.15 ,Success,China,China,S,2020,6,23,23/06/2020,True
16,CASIC,StatusActive,29.75 ,Success,China,China,S,2020,6,17,17/06/2020,True
17,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,6,13,13/06/2020,True
18,Rocket Lab,StatusActive,7.5 ,Success,New Zealand,USA,P,2020,6,13,13/06/2020,False
19,CASIC,StatusActive,30.8 ,Success,China,China,S,2020,6,10,10/06/2020,True
20,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,6,4,04/06/2020,True
21,CASIC,StatusActive,29.75 ,Success,China,China,S,2020,5,31,31/05/2020,True
22,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,5,30,30/05/2020,True
23,CASIC,StatusActive,5.3 ,Success,China,China,S,2020,5,29,29/05/2020,True
24,Virgin Orbit,StatusActive,12.0 ,Failure,USA,USA,P,2020,5,25,25/05/2020,True
25,MHI,StatusRetired,112.5 ,Success,Japan,Japan,P,2020,5,20,20/05/2020,True
26,ULA,StatusActive,120.0 ,Success,USA,USA,P,2020,5,17,17/05/2020,True
27,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2020,4,25,25/04/2020,False
28,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,4,22,22/04/2020,True
29,CASIC,StatusActive,29.15 ,Failure,China,China,S,2020,4,9,09/04/2020,True
30,Roscosmos,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2020,4,9,09/04/2020,False
31,ULA,StatusActive,153.0 ,Success,USA,USA,P,2020,3,26,26/03/2020,True
32,CASIC,StatusActive,30.8 ,Success,China,China,S,2020,3,24,24/03/2020,True
33,Arianespace,StatusActive,48.5 ,Success,Kazakhstan,Multi,P,2020,3,21,21/03/2020,False
34,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,3,18,18/03/2020,True
35,CASIC,StatusActive,29.15 ,Success,China,China,S,2020,3,9,09/03/2020,True
36,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,3,7,07/03/2020,True
37,VKS RF,StatusActive,48.5 ,Success,Russia,Russia,S,2020,2,20,20/02/2020,True
38,CASIC,StatusActive,29.75 ,Success,China,China,S,2020,2,19,19/02/2020,True
39,Arianespace,StatusActive,200.0 ,Success,France,Multi,P,2020,2,18,18/02/2020,False
40,SpaceX,StatusActive,50.0 ,Success,USA,USA,P,2020,2,17,17/02/2020,True
41,Northrop,StatusActive,85.0 ,Success,USA,USA,P,2020,2,15,15/02/2020,True
42,ULA,StatusActive,115.0 ,Success,USA,USA,P,2020,2,10,10/02/2020,True
43,MHI,StatusActive,90.0 ,Success,Japan,Japan,P,2020,2,9,09/02/2020,True
44,Arianespace,StatusActive,48.5 ,Success,Kazakhstan,Multi,P,2020,2,6,06/02/2020,False
